,date,ap_daily,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,ap9,ap10,ap11,ap12,ap13,ap14,ap15,ap16,ap17,ap18,ap19,ap20,ap21,ap22,ap23,ap24,ap25,ap26,ap27
59,1950-03-01,10.063,2,3,2,0,2,3,5,12,3,5,7,5,6,27,22,12,9,7,7,22,12,12,18,7,4,4,4
60,1950-03-02,9.052,3,5,7,5,6,27,22,12,9,7,7,22,12,12,18,7,4,4,4,6,15,15,12,6,9,3,3
61,1950-03-03,7.042,9,7,7,22,12,12,18,7,4,4,4,6,15,15,12,6,9,3,3,9,5,7,6,9,12,4,4
62,1950-03-04,6.031,4,4,4,6,15,15,12,6,9,3,3,9,5,7,6,9,12,4,4,2,4,5,7,12,6,6,5
63,1950-03-05,6.031,9,3,3,9,5,7,6,9,12,4,4,2,4,5,7,12,6,6,5,3,5,9,12,7,4,4,6
64,1950-03-06,15.084,12,4,4,2,4,5,7,12,6,6,5,3,5,9,12,7,4,4,6,18,22,9,9,7,15,15,22
65,1950-03-07,22.115,6,6,5,3,5,9,12,7,4,4,6,18,22,9,9,7,15,15,22,27,32,48,27,22,9,6,6
66,1950-03-08,5.021,4,4,6,18,22,9,9,7,15,15,22,27,32,48,27,22,9,6,6,9,3,6,4,5,5,4,7
67,1950-03-09,7.042,15,15,22,27,32,48,27,22,9,6,6,9,3,6,4,5,5,4,7,12,12,7,6,9,7,3,2
68,1950-03-10,5.021,9,6,6,9,3,6,4,5,5,4,7,12,12,7,6,9,7,3,2,7,5,5,9,3,4,2,2
69,1950-03-11,3.01,5,4,7,12,12,7,6,9,7,3,2,7,5,5,9,3,4,2,2,2,0,2,3,5,3,5,7
70,1950-03-12,5.021,7,3,2,7,5,5,9,3,4,2,2,2,0,2,3,5,3,5,7,5,5,3,6,7,9,4,3
71,1950-03-13,4.021,4,2,2,2,0,2,3,5,3,5,7,5,5,3,6,7,9,4,3,0,3,3,4,5,7,12,2
72,1950-03-14,11.063,3,5,7,5,5,3,6,7,9,4,3,0,3,3,4,5,7,12,2,4,6,12,15,9,12,27,4
73,1950-03-15,21.115,9,4,3,0,3,3,4,5,7,12,2,4,6,12,15,9,12,27,4,48,67,18,7,12,6,6,3
74,1950-03-16,8.042,7,12,2,4,6,12,15,9,12,27,4,48,67,18,7,12,6,6,3,5,18,15,6,5,7,4,3
75,1950-03-17,6.031,12,27,4,48,67,18,7,12,6,6,3,5,18,15,6,5,7,4,3,5,5,9,12,6,2,3,9
76,1950-03-18,5.021,6,6,3,5,18,15,6,5,7,4,3,5,5,9,12,6,2,3,9,6,5,12,5,2,3,5,3
77,1950-03-19,84.187,7,4,3,5,5,9,12,6,2,3,9,6,5,12,5,2,3,5,3,12,27,11,54,54,54,48,12
78,1950-03-20,9.052,2,3,9,6,5,12,5,2,3,5,3,12,27,11,54,54,54,48,12,9,6,6,2,4,15,22,7
79,1950-03-21,27.126,3,5,3,12,27,11,54,54,54,48,12,9,6,6,2,4,15,22,7,9,22,12,48,32,48,32,15
