,date,ap_daily,ap1,ap2,ap3,ap4,apavg1,apavg2
284,1980285,40.146,15,7,22,15,17.428571428571427,8.714285714285714
285,1980286,11.063,39,80,18,22,12.428571428571429,17.428571428571427
286,1980287,5.021,6,9,9,9,51.714285714285715,12.428571428571429
287,1980288,11.063,4,7,12,9,9.714285714285714,51.714285714285715
288,1980289,15.084,6,5,5,5,7.0,9.714285714285714
289,1980290,3.01,18,15,27,15,5.714285714285714,7.0
290,1980291,5.021,9,12,9,7,19.571428571428573,5.714285714285714
291,1980292,21.115,0,3,3,2,6.428571428571429,19.571428571428573
292,1980293,11.063,18,7,6,4,3.5714285714285716,6.428571428571429
293,1980294,4.01,7,7,32,18,17.285714285714285,3.5714285714285716
294,1980295,7.042,5,15,18,12,13.0,17.285714285714285
295,1980296,23.115,5,5,2,4,8.857142857142858,13.0
296,1980297,44.157,6,6,7,9,5.571428571428571,8.857142857142858
297,1980298,14.084,18,56,39,12,11.428571428571429,5.571428571428571
298,1980299,24.115,12,15,39,32,41.57142857142857,11.428571428571429
299,1980300,13.073,27,18,18,7,18.428571428571427,41.57142857142857
300,1980301,3.01,27,32,27,27,18.285714285714285,18.428571428571427
301,1980302,2.0,2,2,5,6,24.285714285714285,18.285714285714285
302,1980303,3.01,0,2,5,3,3.5714285714285716,24.285714285714285
303,1980304,10.063,3,3,3,2,2.0,3.5714285714285716
304,1980305,30.136,7,3,5,4,2.2857142857142856,2.0
305,1980306,16.094,18,18,7,15,7.285714285714286,2.2857142857142856
306,1980307,11.063,15,27,27,48,17.285714285714285,7.285714285714286
307,1980308,5.021,6,6,6,22,25.571428571428573,17.285714285714285
308,1980309,12.073,3,5,12,22,10.428571428571429,25.571428571428573
309,1980310,5.021,3,4,5,5,8.428571428571429,10.428571428571429
310,1980311,6.031,7,4,9,7,11.857142857142858,8.428571428571429
311,1980312,6.031,2,4,5,3,6.0,11.857142857142858
312,1980313,6.031,12,9,7,7,4.428571428571429,6.0
313,1980314,9.052,7,7,4,4,7.142857142857143,4.428571428571429
314,1980315,14.084,5,5,7,5,5.142857142857143,7.142857142857143
315,1980316,24.115,9,5,6,15,6.857142857142857,5.142857142857143
316,1980317,12.073,18,12,5,6,12.857142857142858,6.857142857142857
317,1980318,6.031,27,27,39,18,16.142857142857142,12.857142857142858
318,1980319,10.063,12,7,6,5,21.428571428571427,16.142857142857142
319,1980320,22.115,6,7,9,4,6.142857142857143,21.428571428571427
320,1980321,16.094,22,6,12,15,7.142857142857143,6.142857142857143
321,1980322,11.063,18,22,12,18,20.428571428571427,7.142857142857143
322,1980323,16.094,12,15,9,15,17.285714285714285,20.428571428571427
323,1980324,17.094,15,18,15,7,10.857142857142858,17.285714285714285
324,1980325,17.094,18,18,12,22,14.428571428571429,10.857142857142858
325,1980326,13.073,9,15,15,22,16.428571428571427,14.428571428571429
326,1980327,8.042,7,9,27,27,15.714285714285714,16.428571428571427
327,1980328,10.052,12,18,7,6,18.714285714285715,15.714285714285714
328,1980329,12.073,9,7,5,6,9.714285714285714,18.714285714285715
329,1980330,16.094,15,12,22,12,6.857142857142857,9.714285714285714
330,1980331,21.115,15,18,9,7,14.428571428571429,6.857142857142857
331,1980332,19.105,27,18,18,15,13.428571428571429,14.428571428571429
332,1980333,23.115,27,7,12,12,22.714285714285715,13.428571428571429
333,1980334,16.094,39,15,22,22,15.714285714285714,22.714285714285715
334,1980335,24.115,15,18,9,12,25.571428571428573,15.714285714285714
335,1980336,19.105,39,18,15,7,16.285714285714285,25.571428571428573
336,1980337,7.042,48,39,32,27,17.285714285714285,16.285714285714285
337,1980338,21.115,5,5,6,5,31.285714285714285,17.285714285714285
338,1980339,8.052,18,15,9,6,5.0,31.285714285714285
